hospital_id,name,address,city,area,latitude,longitude,type,specialties,emergency,phone,rating
35,Aravind Eye Hospital Tirunelveli,Tirunelveli Junction,Tirunelveli,Junction,8.7270,77.6980,Specialty,Ophthalmology,No,0462-2501234,4.8
36,Kauvery Hospital Trichy,6/2 Royal Road,Tiruchirappalli,Cantonment,10.8220,78.6930,Specialty,Cardiology|Neurology|Orthopedics,Yes,0431-4077777,4.5
37,Government Erode Medical College,Perundurai Road,Erode,Perundurai,11.3410,77.7172,General,General Medicine|Emergency|Surgery,Yes,0424-2225000,3.9
38,Erode General Hospital,EVN Road,Erode,Town,11.3410,77.7270,General,General Medicine|Pediatrics|Gynecology,Yes,0424-2256789,4.0
39,Ponni Hospital,Thiruvalluvar Salai,Erode,Rangampalayam,11.3560,77.7320,General,General Medicine|Surgery|Orthopedics,No,0424-2278900,4.1
40,Government Dharmapuri Medical College,Nethaji Bypass Road,Dharmapuri,Thoppur Road,12.1211,78.1582,General,General Medicine|Emergency|Surgery,Yes,04342-268100,3.8
41,Thanjavur Medical College Hospital,Thanjavur,Thanjavur,Town,10.7860,79.1378,General,General Medicine|Emergency|Surgery,Yes,04362-227777,4.1
42,Aravind Eye Hospital Madurai,1 Anna Nagar,Madurai,Anna Nagar,9.9312,78.1198,Specialty,Ophthalmology,No,0452-4356100,4.8
43,Government Pudukottai Medical College,Pudukottai,Pudukottai,Town,10.3797,78.8197,General,General Medicine|Emergency|Surgery,Yes,04322-221666,3.8
44,Karpaga Vinayaga Medical College,Padalam,Kanchipuram,Maduranthagam,12.5200,79.9200,General,General Medicine|Surgery|Pediatrics,Yes,044-27552255,4.0
45,Chettinad Health City,Rajiv Gandhi Salai,Chennai,Kelambakkam,12.7907,80.2181,Specialty,Cardiology|Neurology|Oncology,Yes,044-47417417,4.4
46,SRM Medical College Hospital,Kattankulathur,Kanchipuram,Kattankulathur,12.8231,80.0444,General,General Medicine|Surgery|Cardiology,Yes,044-27417777,4.2
47,Government Nagapattinam Medical College,Nagapattinam,Nagapattinam,Town,10.7660,79.8442,General,General Medicine|Emergency|Surgery,Yes,04365-255255,3.8
48,Devaki Hospital,148 Luz Church Road,Chennai,Mylapore,13.0372,80.2682,General,General Medicine|Gynecology|Pediatrics,No,044-24617000,4.2
49,Rela Institute,CLC Works Road,Chennai,Chromepet,12.9516,80.1462,Specialty,Liver Transplant|Hepatology|Gastroenterology,Yes,044-22001066,4.7
50,Government Kilpauk Medical College,Poonamallee High Road,Chennai,Kilpauk,13.0785,80.2411,General,General Medicine|Emergency|Psychiatry,Yes,044-26413500,4.1
