hospital_id,name,address,city,area,latitude,longitude,type,specialties,emergency,phone,rating
51,Gem Hospital,45 Pankaja Mill Road,Coimbatore,Ramanathapuram,11.0168,76.9558,Specialty,Gastroenterology|Colorectal Surgery|Laparoscopy,Yes,0422-4388888,4.6
86,Vijaya Hospital Tenkasi,Courtallam Road,Tenkasi,Town,8.9610,77.3180,General,General Medicine|Pediatrics|Gynecology,No,04633-222200,4.0
87,Government Headquarters Hospital,Hospital Road,Thoothukudi,Town,8.7642,78.1348,General,General Medicine|Emergency|Surgery,Yes,0461-2322222,4.0
88,Nazareth Hospital,Doctors Colony,Thoothukudi,Town,8.7660,78.1370,General,General Medicine|Cardiology|Neurology,Yes,0461-2325678,4.3
89,Government Kanyakumari Medical College,Asaripallam,Kanyakumari,Nagercoil,8.1833,77.4119,General,General Medicine|Emergency|Surgery,Yes,04652-225500,4.0
90,Cape Hospital,Kovalam Road,Kanyakumari,Nagercoil,8.1850,77.4150,General,General Medicine|Orthopedics|Pediatrics,Yes,04652-227700,4.2
91,Government Headquarters Hospital,Collector Office Road,Tirupattur,Town,12.4960,78.5730,General,General Medicine|Emergency|Surgery,Yes,04179-220200,3.8
92,SKS Hospital,Chennai Road,Tirupattur,Town,12.4980,78.5760,General,General Medicine|Cardiology|Surgery,Yes,04179-223300,4.1
93,Government Headquarters Hospital,Collectorate Road,Chengalpattu,Town,12.6921,79.9764,General,General Medicine|Emergency|Pediatrics,Yes,044-27426100,4.0
94,Saveetha Medical College,Thandalam,Chengalpattu,Thandalam,12.8231,79.9800,General,General Medicine|Surgery|Cardiology,Yes,044-26801168,4.2
95,Government Headquarters Hospital,Collector Office Road,Tenkasi,Courtallam,8.9300,77.2800,General,General Medicine|Emergency|Surgery,Yes,04633-281100,3.7
96,Government District Hospital,NH 44,Tenali,Guntur,16.2430,80.6400,General,General Medicine|Emergency|Surgery,Yes,04162-220100,3.8
97,Government Headquarters Hospital,Hospital Street,Namakkal,Town,11.2189,78.1674,General,General Medicine|Emergency|Surgery,Yes,04286-220100,3.9
98,Shanmuga Hospital,Salem Road,Namakkal,Town,11.2210,78.1700,Specialty,Cardiology|Neurology|Orthopedics,Yes,04286-224400,4.3
99,Government Headquarters Hospital,Collectorate Road,Theni,Town,10.0104,77.4770,General,General Medicine|Emergency|Surgery,Yes,04546-252100,3.9
100,Theni Government Medical College,Theni Allinagaram,Theni,Town,10.0120,77.4800,General,General Medicine|Surgery|Pediatrics,Yes,04546-254400,4.0
